ID zgłoszenia,Tytuł zgłoszenia,Deskrypcjon,Dopasowana reguła,Typ zgłoszenia,Priorytet,Typ żądania,Data utworzenia zgłoszenia,Oczekiwany wynik,Pewność
1001,Prośba o wsparcie: Awaria stacji dokującej laptopa,Opis: Prośba o wsparcie: Awaria stacji dokującej laptopa Działanie naprawcze: Zaktualizowano firmware urządzenia. Podsumowanie: Sprzęt działa poprawnie po wymianie.,Inne,[System] Incident,Low,Report broken hardware,01.11.2025 07:16:37,0,0.0
1002,Awaria kontrolera dotyku w kiosku samoobsługowym system nie startuje,"Opis: Awaria kontrolera dotyku w kiosku samoobsługowym system nie startuje Działanie naprawcze: Zgłoszono awarię sprzętową do serwisu producenta. Podsumowanie: Problem rozwiązany, kiosk przyjmuje zamówienia.",Kiosk - Awaria dotyku,[System] Incident,Medium,Report broken hardware,01.11.2025 12:21:36,6,0.9
1003,problem z certyfikatem VPN,"Opis: problem z certyfikatem VPN Działanie naprawcze: Dodano wyjątek w zaporze sieciowej. Podsumowanie: Problem rozwiązany, użytkownik może pracować.",Inne,[System] Incident,Medium,Report a system problem,01.11.2025 16:18:44,0,0.0
1004,błąd systemu: Brak sygnału sterujacego otwarciem szuflady (RJ11) stanowisko 8 awaria mechaniczna - wymagany restart nie pomogł.,"Opis: błąd systemu: Brak sygnału sterujacego otwarciem szuflady (RJ11) stanowisko 8 awaria mechaniczna - wymagany restart nie pomogł. Działanie naprawcze: Sprawdzono podłączenie kabla RJ11 do drukarki fiskalnej. Podsumowanie: Usunięto blokadę mechaniczną, sprzęt sprawny.",Szuflada - Awaria otwarcia,[System] Incident,Medium,Report a system problem,01.11.2025 11:57:37,6,0.9
1005,konto pocztowe przepełnione,Opis: konto pocztowe przepełnione Działanie naprawcze: Odblokowano konto w Active Directory. Podsumowanie: Problem z logowaniem rozwiązany.,Inne,[System] Service request,Medium,Report a system problem,01.11.2025 14:46:02,0,0.0
1006,Zacięcie papieru w urządzeniu wielofunkcyjnym,"Opis: Zacięcie papieru w urządzeniu wielofunkcyjnym Działanie naprawcze: Zgłoszono naprawę gwarancyjną u producenta. Podsumowanie: Zgłoszenie zamknięte, sprzęt sprawny.",Inne,[System] Incident,Low,Report broken hardware,01.11.2025 09:52:48,0,0.0
1007,Konto pocztowe przepełnione,Opis: Konto pocztowe przepełnione Działanie naprawcze: Nadano wymagane uprawnienia do grupy bezpieczeństwa. Podsumowanie: Problem z logowaniem rozwiązany.,Inne,[System] Service request,Medium,Report a system problem,01.11.2025 07:41:32,0,0.0
1008,Incydent: Konto użytkownika wygasło stanowisko 15,"Opis: Incydent: Konto użytkownika wygasło stanowisko 15 Działanie naprawcze: Przeprogramowano kartę magnetyczną użytkownika. Podsumowanie: Problem rozwiązany, użytkownik może pracować.",Dostęp - Błąd autoryzacji POS,[System] Service request,Medium,Report a system problem,01.11.2025 13:19:14,4,0.9
1009,Niska przepustowośc łącza internetowego,Opis: Niska przepustowośc łącza internetowego Działanie naprawcze: Skonfigurowano ponownie parametry karty sieciowej. Podsumowanie: Awaria infrastruktury usunięta.,Inne,[System] Incident,High,Report a system problem,01.11.2025 09:10:47,0,0.0
1010,Problem z certyfikatem VPN - błąd powtarzalny.,Opis: Problem z certyfikatem VPN - błąd powtarzalny. Działanie naprawcze: Wyczyszczono profil użytkownika i pliki tymczasowe. Podsumowanie: Dostęp do zasobów sieciowych przywrócony.,Inne,[System] Incident,Medium,Report a system problem,01.11.2025 14:16:28,0,0.0
1011,Problem z uwierzytelnianiem dwuskładnikowym (MFA),Opis: Problem z uwierzytelnianiem dwuskładnikowym (MFA) Działanie naprawcze: Odblokowano konto w Active Directory. Podsumowanie: Problem z logowaniem rozwiązany.,Inne,[System] Service request,Medium,Report a system problem,01.11.2025 20:59:07,0,0.0
