ID zgłoszenia,Tytuł zgłoszenia,Deskrypcjon,Dopasowana reguła,Typ zgłoszenia,Priorytet,Typ żądania,Data utworzenia zgłoszenia,Oczekiwany wynik,Pewność
1001,Bląd licencji pakietu Office,Opis: Bląd licencji pakietu Office Działanie naprawcze: Przeinstalowano pakiet oprogramowania biurowego. Podsumowanie: Błąd nie występuje po aktualizacji.,Inne,[System] Incident,Low,Report broken hardware,01.11.2025 18:26:35,0,0.0
1002,Błąd sumy kontrolnej pamięci fiskalnej dioda Error świeci ciągle,"Opis: Błąd sumy kontrolnej pamięci fiskalnej dioda Error świeci ciągle Działanie naprawcze: Odblokowano mechanizm tnący i usunięto zacięty papier. Podsumowanie: Mechanizm odblokowany, drukarka nie zgłasza błędów.",Drukarka fiskalna - Błąd pamięci,[System] Incident,Highest,Report broken hardware,01.11.2025 14:43:04,4,0.9
1003,Incydent: Brak dostępu do zasobów zewnętrznych,Opis: Incydent: Brak dostępu do zasobów zewnętrznych Działanie naprawcze: Zrestartowano urządzenia sieciowe w lokalizacji. Podsumowanie: Telefon VoIP loguje się do centrali.,Inne,[System] Incident,High,Report a system problem,01.11.2025 21:39:23,0,0.0
1004,Skaner dokumentów nie pobiera kartek,Opis: Skaner dokumentów nie pobiera kartek Działanie naprawcze: Zgłoszono naprawę gwarancyjną u producenta. Podsumowanie: Urządzenie przywrócone do pełnej sprawności.,Inne,[System] Incident,Medium,Report broken hardware,01.11.2025 12:07:06,0,0.0
1005,prośba o wsparcie: Konto użytkownika wygasło stanowisko 9 komunikat: Invalid Credentials - prośba o pilną weryfikację.,"Opis: prośba o wsparcie: Konto użytkownika wygasło stanowisko 9 komunikat: Invalid Credentials - prośba o pilną weryfikację. Działanie naprawcze: Zresetowano hasło użytkownika w systemie centralnym. Podsumowanie: Konto odblokowane, karta działa.",Dostęp - Błąd autoryzacji POS,[System] Service request,Medium,Report a system problem,01.11.2025 15:31:28,4,0.9
1006,Utrata połaczenia z serwerem plików,Opis: Utrata połaczenia z serwerem plików Działanie naprawcze: Skonfigurowano ponownie parametry karty sieciowej. Podsumowanie: Dostęp do internetu i intranetu przywrócony.,Inne,[System] Incident,High,Report broken hardware,01.11.2025 16:20:54,0,0.0
1007,Błąd sumy kontrolnej pamięci fiskalnej,Opis: Błąd sumy kontrolnej pamięci fiskalnej Działanie naprawcze: Wykonano reset sprzętowy drukarki fiskalnej. Podsumowanie: Błąd pamięci ustąpił po restarcie.,Drukarka fiskalna - Błąd pamięci,[System] Incident,Highest,Report broken hardware,01.11.2025 16:53:45,4,0.9
1008,Problem z uwierzytelnianiem dwuskładnikowym (MFA),Opis: Problem z uwierzytelnianiem dwuskładnikowym (MFA) Działanie naprawcze: Zresetowano hasło i wymuszono zmianę przy logowaniu. Podsumowanie: Uprawnienia zostały zaktualizowane.,Inne,[System] Service request,Medium,Report a system problem,01.11.2025 19:40:31,0,0.0
1009,Prośba o wsparcie: Konto pocztowe przepełnione - błąd powtarzalny.,Opis: Prośba o wsparcie: Konto pocztowe przepełnione - błąd powtarzalny. Działanie naprawcze: Odblokowano konto w Active Directory. Podsumowanie: Uprawnienia zostały zaktualizowane.,Inne,[System] Service request,Medium,Report a system problem,01.11.2025 16:30:16,0,0.0
1010,Zgłoszenie awarii: Konto pocztowe przepełnione,Opis: Zgłoszenie awarii: Konto pocztowe przepełnione Działanie naprawcze: Zresetowano hasło i wymuszono zmianę przy logowaniu. Podsumowanie: Dostęp do konta przywrócony.,Inne,[System] Service request,Low,Report a system problem,01.11.2025 10:50:55,0,0.0
1011,Błąd synchronizacji hasła,Opis: Błąd synchronizacji hasła Działanie naprawcze: Zresetowano hasło i wymuszono zmianę przy logowaniu. Podsumowanie: Dostęp do konta przywrócony.,Inne,[System] Service request,Medium,Report a system problem,01.11.2025 17:45:36,0,0.0
1012,Opóźnienie replikacji cennika z serwera centralnego kasa nr 10 błąd wersji bazy danych,Opis: Opóźnienie replikacji cennika z serwera centralnego kasa nr 10 błąd wersji bazy danych Działanie naprawcze: Pobrano paczkę aktualizacyjną ręcznie. Podsumowanie: Baza produktów spójna z systemem centralnym.,System - Opóźnienie replikacji,[System] Incident,Medium,Report a system problem,01.11.2025 14:59:14,4,0.9
1013,Klawiatura numeryczna nie działa,Opis: Klawiatura numeryczna nie działa Działanie naprawcze: Zgłoszono naprawę gwarancyjną u producenta. Podsumowanie: Użytkownik potwierdził rozwiązanie problemu.,Inne,[System] Incident,Lowest,Report broken hardware,01.11.2025 12:18:10,0,0.0
1014,Wymagany serwis: Błąd sumy kontrolnej pamięci fiskalnej drukarka Epson paragon nie wysuwa się,Opis: Wymagany serwis: Błąd sumy kontrolnej pamięci fiskalnej drukarka Epson paragon nie wysuwa się Działanie naprawcze: Wykonano reset sprzętowy drukarki fiskalnej. Podsumowanie: Błąd pamięci ustąpił po restarcie.,Drukarka fiskalna - Błąd pamięci,[System] Incident,High,Report broken hardware,01.11.2025 07:34:00,6,0.9
1015,Uszkodzona matryca w laptopie służbowym,Opis: Uszkodzona matryca w laptopie służbowym Działanie naprawcze: Wymieniono sprzęt na zapasowy z magazynu IT. Podsumowanie: Użytkownik potwierdził rozwiązanie problemu.,Inne,[System] Incident,Low,Report broken hardware,01.11.2025 17:39:22,0,0.0
1016,awaria: Błąd uruchamiania Microsoft Outlook,Opis: awaria: Błąd uruchamiania Microsoft Outlook Działanie naprawcze: Wyczyszczono profil użytkownika i pliki tymczasowe. Podsumowanie: Błąd nie występuje po aktualizacji.,Inne,[System] Incident,Medium,Report broken hardware,01.11.2025 17:10:03,0,0.0
1017,Błąd uruchamiania Microsoft Outlook,Opis: Błąd uruchamiania Microsoft Outlook Działanie naprawcze: Wyczyszczono profil użytkownika i pliki tymczasowe. Podsumowanie: Błąd nie występuje po aktualizacji.,Inne,[System] Incident,Medium,Report a system problem,01.11.2025 12:11:27,0,0.0
1018,Błąd systemu: Błąd API podczas walidacji kuponu mobilnego błąd API zamówienie nie dociera do POS - prośba o pilną weryfikację.,"Opis: Błąd systemu: Błąd API podczas walidacji kuponu mobilnego błąd API zamówienie nie dociera do POS - prośba o pilną weryfikację. Działanie naprawcze: Poinstruowano personel o procedurze awaryjnej (rabat ręczny). Podsumowanie: Problem rozwiązany, komunikacja API stabilna.",Aplikacja mobilna - Błąd API,[System] Incident,Medium,Report a system problem,01.11.2025 16:03:02,5,0.9
1019,niska przepustowość łącza internetowego,Opis: niska przepustowość łącza internetowego Działanie naprawcze: Przełączono na łącze zapasowe. Podsumowanie: Awaria infrastruktury usunięta.,Inne,[System] Incident,High,Report a system problem,01.11.2025 13:04:38,0,0.0
1020,Incydent: Prośba o korektę czasu pracy - zapomniane odbicie,"Opis: Incydent: Prośba o korektę czasu pracy - zapomniane odbicie Działanie naprawcze: Zweryfikowano obecność pracownika na monitoringu. Podsumowanie: Korekta wprowadzona, czas pracy zgodny.",RCP - Korekta czasu,[System] Service request,Medium,Report a system problem,01.11.2025 11:27:01,5,0.9
1021,Prośba o nadanie uprawnień do grupy,Opis: Prośba o nadanie uprawnień do grupy Działanie naprawcze: Zresetowano hasło i wymuszono zmianę przy logowaniu. Podsumowanie: Uprawnienia zostały zaktualizowane.,Inne,[System] Service request,Medium,Report a system problem,01.11.2025 12:09:26,0,0.0
