ID zgłoszenia;Tytuł zgłoszenia;Deskrypcjon;Dopasowana reguła;Typ zgłoszenia;Data utworzenia zgłoszenia;Oczekiwany wynik;Pewność
1001;Błąd systemu: Mrugający komunikat błędu UI na ekranie głównym na ekranie logowania kod błędu GUI-102;Opis: Błąd systemu: Mrugający komunikat błędu UI na ekranie głównym na ekranie logowania kod błędu GUI-102 Działanie naprawcze: Zmieniono rozdzielczość ekranu i przywrócono ustawienia domyślne. Podsumowanie: Przyciski funkcyjne są widoczne i aktywne.;POS - Błąd interfejsu;[System] Incident;01.11.2025 08:35:49;3;0,9
1002;awaria: Bląd spójności danych przy Z-Report proces zatrzymuje sie na 90% - prosba o pilną weryfikację.;Opis: awaria: Bląd spójności danych przy Z-Report proces zatrzymuje sie na 90% - prosba o pilną weryfikację. Działanie naprawcze: Zrestartowano stanowisko POS i zweryfikowano spójność bazy danych. Podsumowanie: Problem rozwiązany, zamknięcie dnia zakończone sukcesem.;POS - Błąd zamknięcia doby;[System] Incident;01.11.2025 12:49:44;4;0,9
1003;mysz bezprzewodowa nie paruje się z odbiornikiem;Opis: mysz bezprzewodowa nie paruje się z odbiornikiem Działanie naprawcze: Zaktualizowano firmware urządzenia. Podsumowanie: Sprzęt działa poprawnie po wymianie.;Inne;[System] Incident;01.11.2025 10:42:19;0;0
1004;Konto pocztowe przepełnione - prośba o interwencję.;Opis: Konto pocztowe przepełnione - prośba o interwencję. Działanie naprawcze: Nadano wymagane uprawnienia do grupy bezpieczeństwa. Podsumowanie: Uprawnienia zostały zaktualizowane.;Inne;[System] Service request;01.11.2025 16:07:19;0;0
1005;Telefon VoIP nie ma sygnału;Opis: Telefon VoIP nie ma sygnału Działanie naprawcze: Przełączono na łącze zapasowe. Podsumowanie: Awaria infrastruktury usunięta.;Inne;[System] Incident;01.11.2025 19:43:42;0;0
1006;Awaria: Bląd krytyczny bazy danych podczas zamkniecia dnia na stanowisku POS 10;Opis: Awaria: Bląd krytyczny bazy danych podczas zamkniecia dnia na stanowisku POS 10 Działanie naprawcze: Zrestartowano stanowisko POS i zweryfikowano spójność bazy danych. Podsumowanie: Błąd jednorazowy, po ponowieniu procedury raport wydrukował się.;POS - Błąd zamknięcia doby;[System] Incident;01.11.2025 19:07:17;3;0,9
1007;Klawiatura numeryczna nie działa;Opis: Klawiatura numeryczna nie działa Działanie naprawcze: Przeczyszczono styki i sprawdzono okablowanie. Podsumowanie: Użytkownik potwierdził rozwiązanie problemu.;Inne;[System] Incident;01.11.2025 12:38:58;0;0
1008;Telefon VoIP nie ma sygnału;Opis: Telefon VoIP nie ma sygnału Działanie naprawcze: Zrestartowano urządzenia sieciowe w lokalizacji. Podsumowanie: Połączenie sieciowe stabilne, parametry w normie.;Inne;[System] Incident;01.11.2025 08:41:02;0;0
1009;Zablokowane konto domenowe AD - błąd powtarzalny.;Opis: Zablokowane konto domenowe AD - błąd powtarzalny. Działanie naprawcze: Zwiększono limit quota dla skrzynki pocztowej. Podsumowanie: Uprawnienia zostały zaktualizowane.;Inne;[System] Service request;01.11.2025 18:44:47;0;0
1010;błąd synchronizacji hasła;Opis: błąd synchronizacji hasła Działanie naprawcze: Nadano wymagane uprawnienia do grupy bezpieczeństwa. Podsumowanie: Użytkownik zalogował się pomyślnie.;Inne;[System] Service request;01.11.2025 14:12:13;0;0
1011;Awaria: Problem z zasilaczem do laptopa Dell;Opis: Awaria: Problem z zasilaczem do laptopa Dell Działanie naprawcze: Zgłoszono naprawę gwarancyjną u producenta. Podsumowanie: Urządzenie przywrócone do pełnej sprawności.;Inne;[System] Incident;01.11.2025 14:21:56;0;0
1012;Telefon VoIP nie ma sygnału;Opis: Telefon VoIP nie ma sygnału Działanie naprawcze: Przełączono na łącze zapasowe. Podsumowanie: Awaria infrastruktury usunięta.;Inne;[System] Incident;01.11.2025 16:06:17;0;0
1013;Nieudana aktualizacja systemu Windows;Opis: Nieudana aktualizacja systemu Windows Działanie naprawcze: Przeinstalowano pakiet oprogramowania biurowego. Podsumowanie: Aplikacja uruchamia się poprawnie.;Inne;[System] Incident;01.11.2025 15:06:44;0;0
1014;Opóźnienie replikacji cennika z serwera centralnego kasa nr 13 błąd wersji bazy danych - prośba o pilną weryfikację.;Opis: Opóźnienie replikacji cennika z serwera centralnego kasa nr 13 błąd wersji bazy danych - prośba o pilną weryfikację. Działanie naprawcze: Wymuszono pełną synchronizację bazy produktów. Podsumowanie: Problem rozwiązany, promocje są widoczne.;System - Opóźnienie replikacji;[System] Incident;01.11.2025 09:18:01;3;0,9
1015;Incydent: Problem z certyfikatem VPN - błąd powtarzalny.;Opis: Incydent: Problem z certyfikatem VPN - błąd powtarzalny. Działanie naprawcze: Dodano wyjątek w zaporze sieciowej. Podsumowanie: Błąd nie występuje po aktualizacji.;Inne;[System] Incident;01.11.2025 17:55:17;0;0
