ID zgłoszenia,Tytuł zgłoszenia,Deskrypcjon,Dopasowana reguła,Typ zgłoszenia,Priorytet,Typ żądania,Data utworzenia zgłoszenia,Oczekiwany wynik,Pewność
1001,Dotyczy: Błąd serwisu kolejkowania zamówień kuchennych ekran ekspedycji - wymagany restart nie pomógł.,Opis: Dotyczy: Błąd serwisu kolejkowania zamówień kuchennych ekran ekspedycji - wymagany restart nie pomógł. Działanie naprawcze: Wymieniono kabel HDMI/VGA łączący kontroler z monitorem. Podsumowanie: Problem rozwiązany po restarcie kontrolera.,KDS - Brak sygnału wideo,[System] Incident,Medium,Report a system problem,01.11.2025 14:05:44,3,0.9
1002,Wymagany serwis: Błąd synchronizacji ewidencji czasu pracy z serwerem,"Opis: Wymagany serwis: Błąd synchronizacji ewidencji czasu pracy z serwerem Działanie naprawcze: Wymuszono ręczną synchronizację danych z serwerem centralnym. Podsumowanie: Synchronizacja przywrócona, brakujące odbicia pojawiły się w systemie.",RCP - Błąd synchronizacji,[System] Incident,Medium,Report a system problem,01.11.2025 08:45:38,3,0.9
1003,błąd systemu: Błąd tarowania - wartość poza zakresem wymagana ponowna kalibracja,Opis: błąd systemu: Błąd tarowania - wartość poza zakresem wymagana ponowna kalibracja Działanie naprawcze: Przeprowadzono procedurę kalibracji serwisowej. Podsumowanie: Kalibracja zakończona sukcesem.,Waga - Błąd kalibracji,[System] Incident,Low,Report broken hardware,01.11.2025 14:32:49,4,0.9
1004,Incydent: Błąd tarowania - wartość poza zakresem waga Dibal blokuje sprzedaż produktów ważonych,"Opis: Incydent: Błąd tarowania - wartość poza zakresem waga Dibal blokuje sprzedaż produktów ważonych Działanie naprawcze: Przeprowadzono procedurę kalibracji serwisowej. Podsumowanie: Waga wskazuje poprawnie, odczyt stabilny.",Waga - Błąd kalibracji,[System] Incident,Lowest,Report broken hardware,01.11.2025 14:54:50,4,0.9
1005,Zgłoszenie awarii: Słuchawki z mikrofonem nie są wykrywane przez system,"Opis: Zgłoszenie awarii: Słuchawki z mikrofonem nie są wykrywane przez system Działanie naprawcze: Wymieniono sprzęt na zapasowy z magazynu IT. Podsumowanie: Zgłoszenie zamknięte, sprzęt sprawny.",Inne,[System] Incident,Low,Report broken hardware,01.11.2025 22:37:15,0,0.0
1006,Awaria switcha w szafie rack - błąd powtarzalny.,Opis: Awaria switcha w szafie rack - błąd powtarzalny. Działanie naprawcze: Sprawdzono trasę pakietów i odblokowano porty. Podsumowanie: Telefon VoIP loguje się do centrali.,Inne,[System] Incident,Medium,Report a system problem,01.11.2025 07:45:37,0,0.0
1007,Wymagany serwis: Wygasło haslo do systemu Windows - blokuje obsługę klienta.,Opis: Wymagany serwis: Wygasło haslo do systemu Windows - blokuje obsługę klienta. Działanie naprawcze: Zresetowano hasło i wymuszono zmianę przy logowaniu. Podsumowanie: Dostęp do konta przywrócony.,Inne,[System] Service request,Medium,Report a system problem,01.11.2025 11:20:14,0,0.0
1008,Błąd renderowania ikon na pasku statusu na ekranie logowania kod błędu GUI-102 - prośba o interwencję.,Opis: Błąd renderowania ikon na pasku statusu na ekranie logowania kod błędu GUI-102 - prośba o interwencję. Działanie naprawcze: Wyczyszczono cache graficzny aplikacji. Podsumowanie: Błąd graficzny ustąpił po restarcie aplikacji.,POS - Błąd interfejsu,[System] Incident,High,Report a system problem,01.11.2025 17:05:45,3,0.9
1009,Zgłoszenie awarii: Awaria kontrolera dotyku w kiosku samoobsługowym system nie startuje błąd krytyczny aplikacji,Opis: Zgłoszenie awarii: Awaria kontrolera dotyku w kiosku samoobsługowym system nie startuje błąd krytyczny aplikacji Działanie naprawcze: Sprawdzono połączenia wewnętrzne kiosku. Podsumowanie: Aplikacja działa stabilnie po restarcie.,Kiosk - Awaria dotyku,[System] Incident,Medium,Report broken hardware,01.11.2025 12:56:47,6,0.9
1010,Prośba o wsparcie: Awaria webserwisu obsługi nagród system lojalnościowy,Opis: Prośba o wsparcie: Awaria webserwisu obsługi nagród system lojalnościowy Działanie naprawcze: Sprawdzono status usługi Loyalty (globalna awaria). Podsumowanie: Awaria globalna usunięta przez dostawcę.,Loyalty - Niedostępność serwisu,[System] Incident,Medium,Report a system problem,01.11.2025 13:48:54,4,0.9
