key,title,created,issue_type,title_clean,title_lower,category,confidence
SD-164892,POS01 - kasa się zacięła podczas nabijania zamówienia,2025-07-03 23:57:16.345000+02:00,Incydent,POS01 - kasa się zacięła podczas nabijania zamówienia,pos01 - kasa się zacięła podczas nabijania zamówienia,inne,0.5
SD-164891,MyStore - nie można się zalogować,2025-07-03 23:51:17.002000+02:00,Incydent,MyStore - nie można się zalogować,mystore - nie można się zalogować,inne,0.5
SD-164890,POS24 - nie pinguje,2025-07-03 23:51:03.870000+02:00,Incydent,POS24 - nie pinguje,pos24 - nie pinguje,inne,0.5
SD-164889,CSO25 - Nie mozna wylogowac,2025-07-03 23:45:59.701000+02:00,Incydent,CSO25 - Nie mozna wylogowac,cso25 - nie mozna wylogowac,inne,0.5
SD-164888,Pytanie o aktualizacje RFM,2025-07-03 23:45:17.703000+02:00,Usługa,Pytanie o aktualizacje RFM,pytanie o aktualizacje rfm,inne,0.5
SD-164887,Pytanie odnośnie korzystania z kart/kodu do logowania na kasach,2025-07-03 23:42:19.782000+02:00,Usługa,Pytanie odnośnie korzystania z kart/kodu do logowania na kasach,pytanie odnośnie korzystania z kart/kodu do logowania na kasach,inne,0.5
SD-164886,Korekta błędnie wbitych strat,2025-07-03 23:40:00.368000+02:00,Usługa,Korekta błędnie wbitych strat,korekta błędnie wbitych strat,inne,0.5
SD-164884,Korekta błędnie wbitych strat,2025-07-03 23:37:59.578000+02:00,Usługa,Korekta błędnie wbitych strat,korekta błędnie wbitych strat,inne,0.5
SD-164883,"Problem z zamknięciem POS06 - nie przeszło na kasie, z której był zamykany dzień.",2025-07-03 23:30:31.248000+02:00,Incydent,"Problem z zamknięciem POS06 - nie przeszło na kasie, z której był zamykany dzień.","problem z zamknięciem pos06 - nie przeszło na kasie, z której był zamykany dzień.","Newpos – Zamknięcie nie przeszło na kasie, z której był zamykany dzień",0.9
SD-164882,Kioski - nie chcą się uruchomić po awarii prądu,2025-07-03 23:29:22.365000+02:00,Incydent,Kioski - nie chcą się uruchomić po awarii prądu,kioski - nie chcą się uruchomić po awarii prądu,inne,0.5
SD-164881,MyStore - korekta odbić czasowych - nie można dodać odbicia ,2025-07-03 23:14:46.981000+02:00,Usługa,MyStore - korekta odbić czasowych - nie można dodać odbicia,mystore - korekta odbić czasowych - nie można dodać odbicia,MyStore – Prośba o pomoc w edycji odbić czasowych,0.9
SD-164880," Newpos - Zamknięcie nie przeszło na kasie, z której był zamykany dzień.",2025-07-03 23:14:20.184000+02:00,Incydent,"Newpos - Zamknięcie nie przeszło na kasie, z której był zamykany dzień.","newpos - zamknięcie nie przeszło na kasie, z której był zamykany dzień.","Newpos – Zamknięcie nie przeszło na kasie, z której był zamykany dzień",0.9
SD-164878,Zapytanie kiedy zacząć zmiane na linii dt ,2025-07-03 23:08:50.812000+02:00,Incydent,Zapytanie kiedy zacząć zmiane na linii dt,zapytanie kiedy zacząć zmiane na linii dt,inne,0.5
SD-164877,POS06 - Time Blocked,2025-07-03 23:06:55.019000+02:00,Incydent,POS06 - Time Blocked,pos06 - time blocked,inne,0.5
SD-164875,Pytanie do zamianę skanerów,2025-07-03 22:58:36.075000+02:00,Incydent,Pytanie do zamianę skanerów,pytanie do zamianę skanerów,inne,0.5
SD-164874,Po aktualizacji pojawił się komunikat o waystation offline,2025-07-03 22:49:59.478000+02:00,Usługa,Po aktualizacji pojawił się komunikat o waystation offline,po aktualizacji pojawił się komunikat o waystation offline,inne,0.5
SD-164873,Usunięcie zamówień McDelivery z monitora ORB,2025-07-03 22:48:33.442000+02:00,Incydent,Usunięcie zamówień McDelivery z monitora ORB,usunięcie zamówień mcdelivery z monitora orb,inne,0.5
SD-164872,CSO30 - Nie pinguje ,2025-07-03 22:47:18.654000+02:00,Incydent,CSO30 - Nie pinguje,cso30 - nie pinguje,inne,0.5
SD-164866,CSO28 - nie pinguje,2025-07-03 22:36:12.906000+02:00,Incydent,CSO28 - nie pinguje,cso28 - nie pinguje,inne,0.5
SD-164865,Waystaion offline - Brak przyczyny wystąpienia ,2025-07-03 22:34:41.064000+02:00,Incydent,Waystaion offline - Brak przyczyny wystąpienia,waystaion offline - brak przyczyny wystąpienia,inne,0.5
SD-164864,MyStore - edycja odbić czasowych - nie można poprawić odbicia,2025-07-03 22:29:38.174000+02:00,Incydent,MyStore - edycja odbić czasowych - nie można poprawić odbicia,mystore - edycja odbić czasowych - nie można poprawić odbicia,MyStore – Prośba o pomoc w edycji odbić czasowych,0.9
SD-164863,"zgłoszenie dotyczy drukarki runner 1, wyskoczył nożyk",2025-07-03 22:26:20.740000+02:00,Incydent,"zgłoszenie dotyczy drukarki runner 1, wyskoczył nożyk","zgłoszenie dotyczy drukarki runner 1, wyskoczył nożyk",inne,0.5
SD-164862,MOP - prośba o włączenie / wyłączenie,2025-07-03 22:22:50.551000+02:00,Usługa,MOP - prośba o włączenie / wyłączenie,mop - prośba o włączenie / wyłączenie,MOP – Prośba o włączenie/wyłączenie,0.9
SD-164861,CSO25 - zawieszony podczas uruchamiania NP,2025-07-03 22:22:02.816000+02:00,Incydent,CSO25 - zawieszony podczas uruchamiania NP,cso25 - zawieszony podczas uruchamiania np,inne,0.5
SD-164860,BOS01 - Zawiesił się,2025-07-03 22:22:00.979000+02:00,Incydent,BOS01 - Zawiesił się,bos01 - zawiesił się,inne,0.5
SD-164859,Zamknij / otwórz system POS - nie można zamknąć systemu,2025-07-03 22:19:32.662000+02:00,Incydent,Zamknij / otwórz system POS - nie można zamknąć systemu,zamknij / otwórz system pos - nie można zamknąć systemu,inne,0.5
SD-164858,KVS11 OAT - drukarka nie chce drukować slipów,2025-07-03 22:16:33.821000+02:00,Incydent,KVS11 OAT - drukarka nie chce drukować slipów,kvs11 oat - drukarka nie chce drukować slipów,inne,0.5
SD-164857,TR - Zablokowany Tr Nie przechodzi zamkniecie dnia biznesowego ,2025-07-03 22:13:04.442000+02:00,Incydent,TR - Zablokowany Tr Nie przechodzi zamkniecie dnia biznesowego,tr - zablokowany tr nie przechodzi zamkniecie dnia biznesowego,inne,0.5
SD-164856,MyStore - Prośba o pomoc w edycji odbić czasowych,2025-07-03 22:11:47.901000+02:00,Usługa,MyStore - Prośba o pomoc w edycji odbić czasowych,mystore - prośba o pomoc w edycji odbić czasowych,MyStore – Prośba o pomoc w edycji odbić czasowych,0.9
SD-164854,MyStore - raport szybkości obsługi - brak danych w MS po restarcie komunikacji,2025-07-03 22:00:38.598000+02:00,Incydent,MyStore - raport szybkości obsługi - brak danych w MS po restarcie komunikacji,mystore - raport szybkości obsługi - brak danych w ms po restarcie komunikacji,MyStore – brak czasów szybkości obsługi,0.9
SD-164853,Korekta błędnie wbitych strat,2025-07-03 21:58:49.081000+02:00,Usługa,Korekta błędnie wbitych strat,korekta błędnie wbitych strat,inne,0.5
SD-164852,POS - nie można zamknąć dnia biznesowego,2025-07-03 21:55:15.822000+02:00,Incydent,POS - nie można zamknąć dnia biznesowego,pos - nie można zamknąć dnia biznesowego,inne,0.5
SD-164851,Prośba o zmapowanie gniazd sieciowych ,2025-07-03 21:49:44.979000+02:00,Incydent,Prośba o zmapowanie gniazd sieciowych,prośba o zmapowanie gniazd sieciowych,inne,0.5
SD-164850,Informacja odnośnie zamknięcia,2025-07-03 21:43:56.651000+02:00,Usługa,Informacja odnośnie zamknięcia,informacja odnośnie zamknięcia,inne,0.5
SD-164849,pos24 - prośba o detach,2025-07-03 21:42:59.675000+02:00,Incydent,pos24 - prośba o detach,pos24 - prośba o detach,inne,0.5
SD-164848,McDonald's Poland Coates Support Case 00371605 Acknowledgment,2025-07-03 21:36:51.324000+02:00,Usługa,McDonald's Poland Coates Support Case 00371605 Acknowledgment,mcdonald's poland coates support case 00371605 acknowledgment,inne,0.5
SD-164847,CSO31 - czerwone tło z żółtą M ,2025-07-03 21:23:22.028000+02:00,Incydent,CSO31 - czerwone tło z żółtą M,cso31 - czerwone tło z żółtą m,inne,0.5
SD-164846,Informacja o blokadzie MOP,2025-07-03 21:16:19.334000+02:00,Usługa,Informacja o blokadzie MOP,informacja o blokadzie mop,inne,0.5
SD-164845,gpr bev - numery zamówienia sa podwójne,2025-07-03 21:14:02.985000+02:00,Incydent,gpr bev - numery zamówienia sa podwójne,gpr bev - numery zamówienia sa podwójne,inne,0.5
SD-164844,MFA - Prośba o kody MFA,2025-07-03 21:10:55.356000+02:00,Usługa,MFA - Prośba o kody MFA,mfa - prośba o kody mfa,inne,0.5
SD-164843,MOP - Prośba o wyłącznie usługi,2025-07-03 20:58:49.680000+02:00,Usługa,MOP - Prośba o wyłącznie usługi,mop - prośba o wyłącznie usługi,inne,0.5
SD-164842,Mystore - odbicia czasowe,2025-07-03 20:57:51.590000+02:00,Usługa,Mystore - odbicia czasowe,mystore - odbicia czasowe,MyStore – Prośba o pomoc w edycji odbić czasowych,0.9
SD-164841,Informacja,2025-07-03 20:57:40.018000+02:00,Incydent,Informacja,informacja,inne,0.5
SD-164839,MOP - Prośba o wyłącznie usługi,2025-07-03 20:52:29.191000+02:00,Usługa,MOP - Prośba o wyłącznie usługi,mop - prośba o wyłącznie usługi,inne,0.5
SD-164838,cashcollector - nie reaguje ,2025-07-03 20:49:37.724000+02:00,Incydent,cashcollector - nie reaguje,cashcollector - nie reaguje,inne,0.5
SD-164837,POS - brak kafelków do blokowania produktów,2025-07-03 20:43:15.525000+02:00,Incydent,POS - brak kafelków do blokowania produktów,pos - brak kafelków do blokowania produktów,POS – brak kafelków,0.9
SD-164836,Zablokowany POS (Time Blocked),2025-07-03 20:36:45.016000+02:00,Incydent,Zablokowany POS (Time Blocked),zablokowany pos (time blocked),inne,0.5
